country,CCR,BCC,SuperEff,SBM,scale_eff
Croatia,1.0000000000000002,1.0000000000000002,1.5993597238356618,1.0,1.0
Malta,1.0,1.0,1.3619638064287418,1.0,1.0
Austria,1.0,0.9999999999999996,1.2587611663855218,1.0,1.0000000000000004
Finland,1.0,1.0000000000000002,1.2016966930389494,0.9999999999999997,0.9999999999999998
Sweden,1.0,1.0,1.1491460978173573,1.0,1.0
Estonia,1.0000000000000002,0.9999999999999999,1.1382013123313857,0.9999999999999991,1.0000000000000004
Denmark,1.0,1.0,1.1032436992774408,1.0,1.0
Cyprus,0.9996688465414412,1.0,0.9996688465414412,0.9017119350047371,0.9996688465414412
Germany,0.9838436258479738,1.0,0.9838436258479736,0.9415466391921674,0.9838436258479738
Norway,0.9820403792878809,0.9904238282625613,0.9820403792878809,0.8675154466391745,0.9915354934569911
Ireland,0.9788836672027209,1.0000000000000004,0.9788836672027209,0.8067310168284536,0.9788836672027205
France,0.9646330636038261,1.0000000000000002,0.9646330636038261,0.8959856084465392,0.9646330636038258
Switzerland,0.9463130586696208,0.9622485206881806,0.9463130586696208,0.6547459598106702,0.9834393489042071
Poland,0.9167118472609962,0.9469498845826712,0.9167118472609962,0.715057361696137,0.9680679645100743
Luxembourg,0.9111491978290851,1.0,0.9111491978290851,0.7126544474596275,0.9111491978290851
Portugal,0.894538600276202,0.9613622760260361,0.894538600276202,0.71179621010681,0.9304906408164239
Türkiye,0.8738876933371947,0.9749278986756721,0.8738876933371948,0.5031171911736414,0.8963613560800456
Slovenia,0.8585941322509675,0.9062208226292624,0.8585941322509675,0.6315125392609007,0.9474447185619579
Latvia,0.8421936849991396,1.0,0.8421936849991396,0.48959169257330326,0.8421936849991396
Greece,0.8358074769205597,0.9977257072856914,0.8358074769205597,0.6059660241274895,0.8377126807671122
Netherlands,0.8357533045341037,1.0,0.8357533045341037,0.7694682783789409,0.8357533045341037
Montenegro,0.8045973683447967,1.0,0.8045973683447967,0.6382087731088946,0.8045973683447967
Belgium,0.7961714813752135,0.8172345947477583,0.7961714813752135,0.5515198812935042,0.9742263561675997
Spain,0.7908293161533915,1.0000000000000002,0.7908293161533915,0.6182259281889374,0.7908293161533912
Czechia,0.7605726375076144,0.7608684844864095,0.7605726375076144,0.6248969615794323,0.9996111719898678
Lithuania,0.6986660105772923,0.717802038588612,0.6986660105772923,0.44539698146555723,0.9733408001334933
Hungary,0.6842043074319699,0.6976095036024968,0.6842043074319699,0.4850173148205299,0.9807840975484111
Italy,0.6602104570439733,0.8705647340351946,0.6602104570439733,0.4832980804632668,0.7583703212784665
Romania,0.6043875359796622,0.6501650046762185,0.6043875359796622,0.36407151393708564,0.9295909986429469
Bulgaria,0.5303270264895644,0.5486340026173845,0.5303270264895644,0.4270394362949128,0.9666317143296215
Slovakia,0.5290059786960946,0.5436504520512729,0.5290059786960946,0.3607075712686052,0.9730627036178805
Serbia,0.4873415179429847,0.4925150823690849,0.4873415179429847,0.27753394671937237,0.9894956223447727
NorthMacedonia,0.40866671353616907,1.0,0.40866671353616907,0.23382774435181303,0.40866671353616907
