,coef,std_err,t,p_value
Intercept,0.6322405984579746,,6.062052611648795,1.3439522827951578e-09
seasonality,0.0002535221206948514,0.00018219479970177022,1.3914893350953759,0.1640770914426346
length_of_stay,-0.0194652276476171,0.0385077575848926,-0.5054884747496623,0.613215791349244
protected_hectares,3.5465018917567588e-09,1.3846680764159735e-08,0.25612650079551197,0.7978531596377094
tourist_pressure,0.0003888708472255564,0.004262611786434398,0.09122830478326065,0.9273111847595723
