,coef,bias_corrected,boot_se,ci_lower,ci_upper
Intercept,0.6108538607457599,0.5724817141129204,0.09913673956738177,0.4495700562633683,0.8495100548787075
seasonality,0.00027007849593488033,0.0003032182416650042,9.857827875539843e-05,4.672866182889754e-05,0.00041675759152521756
length_of_stay,-0.02179928668237741,-0.017470752077044367,0.03973657076943203,-0.10661723410178992,0.05001952476352113
protected_hectares,-7.424151602316944e-07,-6.154594476229074e-07,1.8402255171601166e-07,-1.3481151854876366e-06,-7.335179458325346e-07
tourist_pressure,-8.83567435114069e-05,-1.5097650425441718e-05,0.00013165039793036742,-0.0004363073219670723,5.584037128453539e-05
