model,r2_loo,rmse_loo,mae_loo
ElasticNet,0.25242129027382587,0.1473146755901206,0.11587429287806879
RandomForest,0.23489115117557724,0.14903187444132218,0.13308477631986537
GradientBoosting,-0.006654705864948873,0.17094555613586118,0.13867059153596395
XGBoost,0.32313721126812844,0.14017413050790548,0.12045873308005745
LightGBM,-0.07840236943116619,0.17693264426633362,0.14212042173579553
