,n,mean,median,std,min,max,n_efficient
CCR,33.0,0.8357272402921346,0.8738876933371947,0.17262273592866684,0.40866671353616907,1.0000000000000002,7.0
BCC,33.0,0.9042091768280154,0.9999999999999996,0.15640254422956726,0.4925150823690849,1.0000000000000004,17.0
SuperEff,33.0,0.8906476190531969,0.8738876933371948,0.25613463026615124,0.40866671353616907,1.5993597238356618,0.0
SBM,33.0,0.6883983177027426,0.6547459598106702,0.2372289277867122,0.23382774435181303,1.0,7.0
