model,feature,importance_mean,importance_std,feature_set
ElasticNet,seasonality,0.2681681877228176,0.0862407853726361,extended
ElasticNet,length_of_stay,0.0,0.0,extended
ElasticNet,protected_hectares,0.0,0.0,extended
ElasticNet,tourist_pressure,0.0,0.0,extended
ElasticNet,gdp_per_capita_usd,0.0,0.0,extended
ElasticNet,gdp_per_capita_ppp,0.22292141993444578,0.07182745031947527,extended
ElasticNet,gdp_growth_pct,0.0,0.0,extended
ElasticNet,services_value_added,0.0,0.0,extended
ElasticNet,agriculture_value_added,0.0,0.0,extended
ElasticNet,tertiary_enrolment,0.0,0.0,extended
ElasticNet,internet_users_pct,0.00030628753990388004,0.0003271420902069006,extended
ElasticNet,mobile_subs_p100,0.006456623721004766,0.005762209528741107,extended
ElasticNet,forest_area_pct,0.003939041746606462,0.004048266244029616,extended
ElasticNet,agri_land_pct,0.2049074481051618,0.057969184269373045,extended
ElasticNet,protected_area_pct,0.0,0.0,extended
ElasticNet,hospital_beds_p1k,0.0028647147224167835,0.002778841644995415,extended
ElasticNet,logistics_perf_idx,0.10072144779800649,0.040944510901761655,extended
ElasticNet,tourism_receipts_usd,0.07264618954065838,0.032416866758287984,extended
ElasticNet,tourism_arrivals,0.0,0.0,extended
ElasticNet,rural_pop_pct,0.0,0.0,extended
ElasticNet,population_total,0.0,0.0,extended
ElasticNet,unesco_sites,0.0,0.0,extended
ElasticNet,airports_intl,0.0,0.0,extended
RandomForest,seasonality,0.14744881184462333,0.03264600568401094,extended
RandomForest,length_of_stay,0.0049051899061479136,0.0009284032128986285,extended
RandomForest,protected_hectares,0.0025590148093959917,0.0004889729850152145,extended
RandomForest,tourist_pressure,0.010106479201640121,0.0022936987467663873,extended
RandomForest,gdp_per_capita_usd,0.05832972619769446,0.018964237977533042,extended
RandomForest,gdp_per_capita_ppp,0.0796545575566831,0.022318393163877112,extended
RandomForest,gdp_growth_pct,0.02318162257210932,0.0052388819252453265,extended
RandomForest,services_value_added,0.005522037954997798,0.0015266645524069239,extended
RandomForest,agriculture_value_added,0.03711362877959381,0.011987293839194226,extended
RandomForest,tertiary_enrolment,0.08271887744270566,0.024991503146185125,extended
RandomForest,internet_users_pct,0.03938219101450485,0.01264670405487716,extended
RandomForest,mobile_subs_p100,0.005269376913258555,0.001128315924997372,extended
RandomForest,forest_area_pct,0.004019861268598499,0.0014758638254733143,extended
RandomForest,agri_land_pct,0.05710541668756784,0.014281925453411627,extended
RandomForest,protected_area_pct,0.003671300572300682,0.0012143188017269078,extended
RandomForest,hospital_beds_p1k,0.007259073101975477,0.002930275362543444,extended
RandomForest,logistics_perf_idx,0.03531899276406996,0.012758991445549825,extended
RandomForest,tourism_receipts_usd,0.024105216731259302,0.007195480024873607,extended
RandomForest,tourism_arrivals,0.005629965531240204,0.0019275102713490636,extended
RandomForest,rural_pop_pct,0.014769031078344175,0.0042135746292597245,extended
RandomForest,population_total,0.013968624271641585,0.004894308534619113,extended
RandomForest,unesco_sites,0.0037416025977327137,0.0021346887396858035,extended
RandomForest,airports_intl,0.003803444603124433,0.001376262485769297,extended
GradientBoosting,seasonality,0.2648989894876215,0.046486021712009336,extended
GradientBoosting,length_of_stay,0.0022116305156285685,0.000466313784289188,extended
GradientBoosting,protected_hectares,0.000860844773232896,0.0001695423135021621,extended
GradientBoosting,tourist_pressure,0.021900876674570514,0.004153675498667344,extended
GradientBoosting,gdp_per_capita_usd,0.03348573193839307,0.0072870599386333475,extended
GradientBoosting,gdp_per_capita_ppp,0.09204206582992804,0.017784850100353095,extended
GradientBoosting,gdp_growth_pct,0.018567199910245843,0.004671624440886991,extended
GradientBoosting,services_value_added,0.0018942140295686817,0.0003550836006024698,extended
GradientBoosting,agriculture_value_added,0.025591329180027725,0.004907559186522398,extended
GradientBoosting,tertiary_enrolment,0.015916771888619494,0.0035830388891131357,extended
GradientBoosting,internet_users_pct,0.01572562101818155,0.004244816862467941,extended
GradientBoosting,mobile_subs_p100,0.005970662838188736,0.0009331210350824288,extended
GradientBoosting,forest_area_pct,0.009239920881208698,0.0020658154127539707,extended
GradientBoosting,agri_land_pct,0.10659753945553453,0.018412427199229538,extended
GradientBoosting,protected_area_pct,0.0005018066828557432,0.00011998975289859794,extended
GradientBoosting,hospital_beds_p1k,0.00024291194535190684,5.695900485728069e-05,extended
GradientBoosting,logistics_perf_idx,0.0023686349794160067,0.0004740743378007531,extended
GradientBoosting,tourism_receipts_usd,0.006575985374790858,0.0012890107501026275,extended
GradientBoosting,tourism_arrivals,0.0020080026799155883,0.000383443518001737,extended
GradientBoosting,rural_pop_pct,0.002585497752880925,0.00078718018260706,extended
GradientBoosting,population_total,0.008655741338269001,0.0017972692267763655,extended
GradientBoosting,unesco_sites,0.004714868389460807,0.0010464721204892218,extended
GradientBoosting,airports_intl,0.0017258949993335816,0.0004550203552934412,extended
XGBoost,seasonality,0.2527300322548339,0.055686517265729804,extended
XGBoost,length_of_stay,0.000836011616318042,0.00030009532583695817,extended
XGBoost,protected_hectares,0.0018356464843763698,0.0005984152168969263,extended
XGBoost,tourist_pressure,0.01917954670366888,0.005308743883112422,extended
XGBoost,gdp_per_capita_usd,0.047768830410455015,0.013065046566037533,extended
XGBoost,gdp_per_capita_ppp,0.1356898853261802,0.03204941313708118,extended
XGBoost,gdp_growth_pct,0.03140227047754296,0.010149560316549152,extended
XGBoost,services_value_added,0.005029975631340225,0.001987722185802128,extended
XGBoost,agriculture_value_added,0.0509394249553563,0.014583903215847828,extended
XGBoost,tertiary_enrolment,0.037145838751966434,0.011972684503549647,extended
XGBoost,internet_users_pct,0.07361118431191281,0.023897352927512924,extended
XGBoost,mobile_subs_p100,0.008098535054220344,0.0025548037242627357,extended
XGBoost,forest_area_pct,0.005065662782131419,0.0018840156189051842,extended
XGBoost,agri_land_pct,0.06469690352489847,0.018642534923174664,extended
XGBoost,protected_area_pct,0.0003768886097223101,0.00014942432191235146,extended
XGBoost,hospital_beds_p1k,0.0,0.0,extended
XGBoost,logistics_perf_idx,0.015381889369401542,0.00500888346743049,extended
XGBoost,tourism_receipts_usd,0.012969502700734803,0.004292441216095042,extended
XGBoost,tourism_arrivals,0.007919169259355405,0.004393397201644607,extended
XGBoost,rural_pop_pct,0.006337611142377884,0.0021231029871751333,extended
XGBoost,population_total,0.0195266415638211,0.007193963562224606,extended
XGBoost,unesco_sites,0.001461310736144843,0.0009041513915353326,extended
XGBoost,airports_intl,0.0023797303916227343,0.0007615957333435225,extended
kNN,seasonality,0.12568877260724798,0.031473094897627785,extended
kNN,length_of_stay,0.15082645493340327,0.026607700826185746,extended
kNN,protected_hectares,0.10932369713651365,0.02376420200214866,extended
kNN,tourist_pressure,0.021500678359644178,0.014138571631720456,extended
kNN,gdp_per_capita_usd,0.12458129936878778,0.02190266555041428,extended
kNN,gdp_per_capita_ppp,0.11891302288266659,0.019892336379266237,extended
kNN,gdp_growth_pct,0.1887538473103081,0.03507454777592064,extended
kNN,services_value_added,0.1022125582882555,0.019824276075340572,extended
kNN,agriculture_value_added,0.1305077766587278,0.020745382070734432,extended
kNN,tertiary_enrolment,0.0951801957485415,0.018941326493359025,extended
kNN,internet_users_pct,0.13702266111470382,0.029535620995529838,extended
kNN,mobile_subs_p100,0.11926711114907895,0.018590803871228773,extended
kNN,forest_area_pct,0.12208412037341265,0.02746606547493153,extended
kNN,agri_land_pct,0.135855628377374,0.025831999718754925,extended
kNN,protected_area_pct,0.11787740214374803,0.023888149972067514,extended
kNN,hospital_beds_p1k,0.15948504382799783,0.03438973280686773,extended
kNN,logistics_perf_idx,0.121564238967384,0.022489221739749952,extended
kNN,tourism_receipts_usd,0.1562504018537922,0.03256724565917879,extended
kNN,tourism_arrivals,0.1632433926366279,0.0348317562354203,extended
kNN,rural_pop_pct,0.1286064313807972,0.02845551692761779,extended
kNN,population_total,0.1336090788208576,0.029262795042389864,extended
kNN,unesco_sites,0.1327457373698684,0.02967953466577439,extended
kNN,airports_intl,0.10914670276044039,0.02098328170107245,extended
