model,r2_loo,rmse_loo,mae_loo
ElasticNet,0.052658146803458594,0.15923978924485163,0.12354658119512496
RandomForest,0.10548242216359427,0.15473646510652883,0.1323254715074796
GradientBoosting,0.078438894273414,0.1570580859174573,0.13412807015204778
XGBoost,0.02475708667174703,0.16156773375785163,0.13387196080388875
LightGBM,-0.06555671349293202,0.16888322614022733,0.13513826317328909
